1	1	300090
1	2	261153
1	3	268892
1	4	322572
1	5	696335
1	6	239184
1	7	215391
1	8	202012
1	9	206568
1	10	208634
1	11	210588
1	12	208754
1	13	205641
1	14	206829
1	15	210440
1	16	209973
1	17	206322
1	18	206791
1	19	210654
1	20	210367
1	21	204481
1	22	205326
1	23	206019
1	24	206112
1	25	210663
1	26	204919
1	27	205083
1	28	208155
1	29	210313
1	30	212820
1	31	206225
1	32	205362
1	33	203297
1	34	205503
1	35	209332
1	36	205033
1	37	210157
1	38	208069
1	39	205712
1	40	212093
1	41	210585
1	42	210678
1	43	219833
1	44	221863
1	45	227080
1	46	239056
1	47	209173
1	48	207682
1	49	209715
11	1	171361
11	2	160360
11	3	156907
11	4	160286
11	5	160116
11	6	159198
11	7	159496
11	8	162628
11	9	159964
11	10	157654
11	11	157428
11	12	163451
11	13	162716
11	14	158471
11	15	157474
11	16	162992
11	17	159243
11	18	155320
11	19	164459
11	20	158333
11	21	163833
11	22	155711
11	23	158860
11	24	160588
11	25	167959
11	26	156312
11	27	160963
11	28	163045
11	29	162594
11	30	170040
11	31	166758
11	32	163858
11	33	163593
11	34	153876
11	35	160861
11	36	162902
11	37	167472
11	38	164849
11	39	163105
11	40	167726
11	41	157836
11	42	157607
11	43	155551
11	44	165124
11	45	157673
11	46	162765
11	47	156686
11	48	156859
11	49	163104
21	1	163756
21	2	157014
21	3	158905
21	4	163034
21	5	159988
21	6	156677
21	7	161634
21	8	159814
21	9	158181
21	10	158329
21	11	162647
21	12	161650
21	13	155394
21	14	165433
21	15	163759
21	16	162469
21	17	158681
21	18	161536
21	19	157690
21	20	164685
21	21	154302
21	22	157781
21	23	162965
21	24	159276
21	25	155043
21	26	160301
21	27	162468
21	28	161318
21	29	154949
21	30	160318
21	31	166135
21	32	155899
21	33	158298
21	34	161277
21	35	159956
21	36	156173
21	37	159462
21	38	158695
21	39	163799
21	40	154030
21	41	164394
21	42	160523
21	43	159498
21	44	156013
21	45	158982
21	46	157323
21	47	160960
21	48	156856
21	49	160457
31	1	170016
31	2	191515
31	3	157738
31	4	157122
31	5	159110
31	6	162610
31	7	156383
31	8	160451
31	9	160237
31	10	162508
31	11	153685
31	12	158420
31	13	164451
31	14	158708
31	15	156282
31	16	160945
31	17	162278
31	18	155003
31	19	159879
31	20	160674
31	21	162443
31	22	164484
31	23	164420
31	24	167595
31	25	165218
31	26	169248
31	27	159927
31	28	171692
31	29	170431
31	30	160002
31	31	152794
31	32	159180
31	33	161266
31	34	153388
31	35	156349
31	36	160763
31	37	155992
31	38	154539
31	39	160624
31	40	162507
31	41	157733
31	42	159383
31	43	164959
31	44	157556
31	45	155937
31	46	158462
31	47	163512
31	48	159891
31	49	155705
41	1	159165
41	2	157435
41	3	160098
41	4	156505
41	5	159203
41	6	164336
41	7	156332
41	8	157178
41	9	175066
41	10	157795
41	11	159217
41	12	152708
41	13	157290
41	14	161330
41	15	156994
41	16	154772
41	17	161362
41	18	174924
41	19	160699
41	20	154315
41	21	161304
41	22	160841
41	23	155518
41	24	157753
41	25	165787
41	26	165780
41	27	161578
41	28	165046
41	29	165383
41	30	157899
41	31	158581
41	32	160640
41	33	156337
41	34	157927
41	35	156909
41	36	161472
41	37	160121
41	38	159897
41	39	154819
41	40	159018
41	41	158408
41	42	161000
41	43	159484
41	44	162552
41	45	158635
41	46	156193
41	47	158280
41	48	157997
41	49	160019
51	1	196782
51	2	190042
51	3	199890
51	4	196767
51	5	196595
51	6	197568
51	7	204188
51	8	205167
51	9	201384
51	10	197042
51	11	197261
51	12	193267
51	13	194311
51	14	195971
51	15	204442
51	16	200210
51	17	201325
51	18	197897
51	19	200755
51	20	200123
51	21	198942
51	22	197917
51	23	194575
51	24	195042
51	25	200033
51	26	197189
51	27	199076
51	28	194867
51	29	192117
51	30	195862
51	31	195161
51	32	195472
51	33	197128
51	34	195170
51	35	192879
51	36	196579
51	37	196431
51	38	194793
51	39	201424
51	40	194800
51	41	195345
51	42	194483
51	43	195037
51	44	199601
51	45	197188
51	46	196302
51	47	199510
51	48	196421
51	49	198424
61	1	196518
61	2	195210
61	3	200573
61	4	196697
61	5	195553
61	6	195081
61	7	199675
61	8	209625
61	9	208738
61	10	199189
61	11	195667
61	12	198705
61	13	197903
61	14	199418
61	15	196521
61	16	194401
61	17	198781
61	18	198403
61	19	201257
61	20	192573
61	21	196997
61	22	197388
61	23	194347
61	24	200941
61	25	199204
61	26	192034
61	27	199304
61	28	196760
61	29	198581
61	30	213489
61	31	196708
61	32	208037
61	33	198311
61	34	196526
61	35	196103
61	36	196734
61	37	193626
61	38	205578
61	39	199909
61	40	196844
61	41	197376
61	42	195140
61	43	197414
61	44	199869
61	45	195471
61	46	197033
61	47	196272
61	48	197448
61	49	201347
71	1	201377
71	2	198548
71	3	199056
71	4	196710
71	5	194429
71	6	199463
71	7	201352
71	8	197950
71	9	227862
71	10	249987
71	11	232125
71	12	211717
71	13	209123
71	14	210136
71	15	215276
71	16	218806
71	17	207814
71	18	217747
71	19	212813
71	20	204698
71	21	207590
71	22	215962
71	23	207999
71	24	211853
71	25	205244
71	26	242676
71	27	272083
71	28	228710
71	29	224158
71	30	215804
71	31	219346
71	32	215482
71	33	219370
71	34	217392
71	35	223902
71	36	221474
71	37	217122
71	38	207973
71	39	212876
71	40	231427
71	41	210181
71	42	212370
71	43	224784
71	44	195752
71	45	202090
71	46	197282
71	47	202627
71	48	206667
71	49	200027
81	1	201318
81	2	197037
81	3	195053
81	4	192634
81	5	192784
81	6	195859
81	7	193317
81	8	194993
81	9	202505
81	10	196529
81	11	196426
81	12	200321
81	13	203176
81	14	198534
81	15	198601
81	16	194927
81	17	197649
81	18	195313
81	19	202586
81	20	200982
81	21	198814
81	22	202167
81	23	192044
81	24	192097
81	25	194035
81	26	196673
81	27	197940
